Gene_name_canonical,consensus graph-based annotation (this study),Leiden cluster label (this study),Ground truth (ML6.0),"Itzhak et al. 2016, compartment","Itzhak et al. 2016, global"
JMJD8,ER,45,,,Mostly Organellar
KCTD2,ER,45,,,
KRTCAP2,ER,45,ER,ER,Mostly Organellar
LDAF1,ER,45,,,Organellar and Cytosolic
MFSD10,ER,45,,Plasma membrane,Broad distribution
MMGT1,ER,45,,ER,Mostly Organellar
MYDGF,ER,45,ER,ER,Organellar and Cytosolic
NCLN,ER,45,,ER,Mostly Organellar
NCSTN,ER,45,,ER,Mostly Organellar
NEMP1,ER,45,,,Mostly Nuclear
NPTX1,ER,45,ER,ER,Mostly Organellar
P4HB,ER,45,ER,ER,Mostly Organellar
PCSK6,ER,45,,,Mostly Organellar
PCYOX1L,ER,45,,No Prediction,Organellar and Cytosolic
PDIA3 (P30101),ER,45,ER,ER,Mostly Organellar
PDIA4 (P13667),ER,45,ER,ER,Mostly Organellar
PDIA6,ER,45,ER,ER,Mostly Organellar
PIGX,ER,45,,,Mostly Organellar
PON2,ER,45,ER,ER,Mostly Organellar
PPIB,ER,45,ER,ER,Mostly Organellar
PTPN2,ER,45,,ER_high_curvature,Organellar and Cytosolic
RAB24,ER,45,,No Prediction,Organellar and Cytosolic
RCN1,ER,45,ER,ER,Mostly Organellar
RCN2,ER,45,ER,ER,Mostly Organellar
RGPD5; RGPD6,ER,45,,,
RPN1,ER,45,ER,ER,Mostly Organellar
RPN2,ER,45,ER,ER,Mostly Organellar
SELENOF,ER,45,ER,ER,Mostly Organellar
SERPINH1,ER,45,ER,ER,Mostly Organellar
SGSH,ER,45,lysosome,ER,Mostly Organellar
SIGMAR1,ER,45,ER,ER,Mostly Organellar
STT3A,ER,45,ER,ER,Mostly Organellar
TMCC3,ER,45,,,
TMEM35B,ER,45,,,
TMPO (G5E972),ER,45,,Golgi,Mostly Nuclear
TWSG1,ER,45,,,Mostly Organellar
UBE2I,ER,45,,Large Protein Complex,Broad distribution
UBQLN1 (Q9UMX0),cytosol,45,,Large Protein Complex,Broad distribution
ZNF217,ER,45,,,Mostly Nuclear
ABRACL,cytosol,46,,,
ADO,mitochondrion,46,,,Mostly Cytosolic
ADPRS,mitochondrion,46,,Mitochondrion,Broad distribution
AKR1B1,cytosol,46,,Large Protein Complex,Mostly Cytosolic
AKR7A2,mitochondrion,46,,Golgi,Mostly Cytosolic
ANGEL2,mitochondrion,46,,,Organellar and Cytosolic
ARL2,mitochondrion,46,,Golgi,Mostly Cytosolic
ARL6,cytosol,46,,,Mostly Cytosolic
BOLA1,cytosol,46,,,Mostly Cytosolic
BPNT1 (V9HWF9),cytosol,46,,Golgi,Mostly Cytosolic
C2orf69,cytosol,46,,,Mostly Cytosolic
CBR1,mitochondrion,46,,Large Protein Complex,Mostly Cytosolic
CMC4,mitochondrion,46,,,Organellar and Cytosolic
CMPK1,cytosol,46,,Large Protein Complex,Mostly Cytosolic
COASY,mitochondrion,46,,Golgi,Mostly Cytosolic
CTPS2,cytosol,46,,Large Protein Complex,Mostly Cytosolic
DTD1,mitochondrion,46,,Large Protein Complex,Broad distribution
ECHDC1,mitochondrion,46,,Ergic/cisGolgi,Organellar and Cytosolic
FDPS,mitochondrion,46,,Large Protein Complex,Mostly Cytosolic
FEM1B,mitochondrion,46,,,Mostly Cytosolic
GLOD4,mitochondrion,46,,Large Protein Complex,Mostly Cytosolic
GPX1 (X5DQZ7),mitochondrion,46,,,Mostly Organellar
GSTZ1,mitochondrion,46,,,Organellar and Cytosolic
HDDC2,mitochondrion,46,,,Mostly Cytosolic
HEL-S-74,cytosol,46,,,
HSPB1,cytosol,46,stress granule,Large Protein Complex,Mostly Cytosolic
IPO5,mitochondrion,46,,Large Protein Complex,Mostly Cytosolic
LETMD1,mitochondrion,46,mitochondria,Mitochondrion,Mostly Organellar
MLLT11,mitochondrion,46,,,
MMADHC,mitochondrion,46,,,Organellar and Cytosolic
MTHFS,mitochondrion,46,,Mitochondrion,Mostly Cytosolic
NIF3L1,mitochondrion,46,Golgi,Golgi,Mostly Cytosolic
NIT1,mitochondrion,46,,Mitochondrion,Mostly Cytosolic
NIT2,mitochondrion,46,,Mitochondrion,Mostly Cytosolic
NME2,mitochondrion,46,,Golgi,Mostly Cytosolic
NPEPPS,mitochondrion,46,,Golgi,Mostly Cytosolic
NT5C,mitochondrion,46,,Actin binding proteins,Mostly Cytosolic
NT5C3B,cytosol,46,,,Mostly Cytosolic
OVCA2,mitochondrion,46,,Large Protein Complex,Broad distribution
PLPBP,mitochondrion,46,,Golgi,Mostly Cytosolic
PNPO,mitochondrion,46,,,Mostly Cytosolic
PPIA,cytosol,46,,Large Protein Complex,Nuclear and Cytosolic
PTRHD1,mitochondrion,46,,Golgi,Mostly Cytosolic
QDPR,mitochondrion,46,,Mitochondrion,Mostly Cytosolic
QTRT1,mitochondrion,46,,Mitochondrion,Mostly Cytosolic
RANBP6,mitochondrion,46,,,Mostly Cytosolic
REXO2,mitochondrion,46,,Mitochondrion,Mostly Cytosolic
RFK,cytosol,46,,,Mostly Cytosolic
RHEB,cytosol,46,,Plasma membrane,Mostly Cytosolic
SARM1,mitochondrion,46,,,
SELENOO,mitochondrion,46,,,Mostly Cytosolic
SIRT5,mitochondrion,46,,Mitochondrion,Organellar and Cytosolic
SPA17,cytosol,46,,,
THG1L,mitochondrion,46,,Mitochondrion,Organellar and Cytosolic
TRIO,mitochondrion,46,,Large Protein Complex,Broad distribution
TRIT1,mitochondrion,46,,Mitochondrion,Organellar and Cytosolic
TRMT1,mitochondrion,46,,Golgi,Mostly Cytosolic
TRMT5,mitochondrion,46,,Mitochondrion,Broad distribution
UMPS,cytosol,46,,Golgi,Mostly Cytosolic
USP47,cytosol,46,,Large Protein Complex,Mostly Cytosolic
ADGRL3,plasma_membrane,47,,,
AFDN (G1UI22),plasma_membrane,47,,,
AKAP5 (P24588),plasma_membrane,47,,,
ARVCF,plasma_membrane,47,,,Mostly Organellar
C1orf21,plasma_membrane,47,,,
C1orf226,plasma_membrane,47,,,Mostly Organellar
CADM4,plasma_membrane,47,,Plasma membrane,Mostly Organellar
CAMKV,plasma_membrane,47,,,
CARMIL1,plasma_membrane,47,,Large Protein Complex,Organellar and Cytosolic
CDH1,plasma_membrane,47,,,
CIB1,plasma_membrane,47,,ER,Mostly Organellar
CNTNAP2,plasma_membrane,47,,,
CPNE8,plasma_membrane,47,,Endosome,Organellar and Cytosolic
DMD (A0A5H1ZRP8),plasma_membrane,47,,Plasma membrane,Broad distribution
DTNB,plasma_membrane,47,,,Mostly Organellar
EEPD1,plasma_membrane,47,,,
EPC1,plasma_membrane,47,,,Mostly Nuclear
ERBB2,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
EXOC6B,plasma_membrane,47,,Large Protein Complex,Mostly Organellar
FAM171A2,plasma_membrane,47,,,Mostly Organellar
FIBP,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
FMNL2,actin_cytoskeleton,47,,Golgi,Organellar and Cytosolic
FREM2,plasma_membrane,47,,,
FRMD8,plasma_membrane,47,,Plasma membrane,Mostly Organellar
GMEB1,plasma_membrane,47,,,Mostly Nuclear
GNAZ,plasma_membrane,47,,,
GPC6,plasma_membrane,47,,,
ITGA1,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
LRRC57,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
LYN (Q6NUK7),plasma_membrane,47,,Plasma membrane,Mostly Organellar
MFAP3,plasma_membrane,47,,,
MFAP3L,plasma_membrane,47,,,
NECAP2,plasma_membrane,47,,Golgi,Organellar and Cytosolic
NOTCH3,Golgi,47,,,Mostly Organellar
PANX1,plasma_membrane,47,,Plasma membrane,Mostly Organellar
PARVA,plasma_membrane,47,,Large Protein Complex,Organellar and Cytosolic
PARVB,plasma_membrane,47,,Large Protein Complex,Broad distribution
PDLIM7,plasma_membrane,47,actin-binding_protein,Actin binding proteins,Broad distribution
PLD2,plasma_membrane,47,,Plasma membrane,Organellar and Cytosolic
PPFIBP1-ALK,plasma_membrane,47,,,
PPP2R5C (Q96L52),cytosol,47,,,Nuclear and Cytosolic
Q6ZT73[p],plasma_membrane,47,,,
RALBP1,actin_cytoskeleton,47,,Plasma membrane,Nuclear and Cytosolic
RHBDF2,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
RSU1,plasma_membrane,47,,Large Protein Complex,Broad distribution
SDC1,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
SEMA4D,plasma_membrane,47,,,
SEPTIN3,plasma_membrane,47,,,
SHOC2,plasma_membrane,47,,Large Protein Complex,Broad distribution
SLC38A3,plasma_membrane,47,,,
SLC6A8,plasma_membrane,47,,,
SLC6A9,plasma_membrane,47,plasma membrane,Plasma membrane,Mostly Organellar
SLC9A1,plasma_membrane,47,,Plasma membrane,Mostly Organellar
TAOK3,plasma_membrane,47,,Large Protein Complex,Mostly Organellar
TBC1D10A,plasma_membrane,47,,,Broad distribution
TBC1D24,plasma_membrane,47,,Plasma membrane,Mostly Organellar
TESC,plasma_membrane,47,,,Mostly Cytosolic
TRIM23,plasma_membrane,47,,Plasma membrane,Organellar and Cytosolic
TTC7B,plasma_membrane,47,,,
A0A5C2GRJ2[p],unclassified,48,,,
ABRAXAS1,unclassified,48,,,Mostly Nuclear
AMMECR1,unclassified,48,,,
AMMECR1L,unclassified,48,,,Broad distribution
BABAM1,unclassified,48,,,Mostly Cytosolic
BABAM2,unclassified,48,,,Broad distribution
BCAR1,unclassified,48,,Large Protein Complex,Mostly Cytosolic
BRCC3 (P46736),cytosol,48,,,Broad distribution
BUD23,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
CCSAP,nucleus,48,,,Mostly Organellar
CD59,unclassified,48,plasma membrane,Plasma membrane,Mostly Organellar
CEP44,unclassified,48,,No Prediction,Broad distribution
CFAP20,unclassified,48,,Large Protein Complex,Nuclear and Cytosolic
CHEK1,unclassified,48,,Large Protein Complex,Broad distribution
CPSF4,unclassified,48,,,Mostly Nuclear
DYNC1LI2,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
DYNC2H1,unclassified,48,,Large Protein Complex,Mostly Cytosolic
DYNC2LI1,unclassified,48,,,Mostly Cytosolic
FAF1,nucleus,48,,Large Protein Complex,Mostly Cytosolic
FAM120B,unclassified,48,,Endosome,Organellar and Cytosolic
FAM83D,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
FBXO5,unclassified,48,,,Mostly Organellar
FIP1L1,unclassified,48,,Large Protein Complex,Mostly Nuclear
FRA10AC1,nucleus,48,,Large Protein Complex,Organellar and Cytosolic
GORAB,unclassified,48,,Golgi,Organellar and Cytosolic
GTF2F2,unclassified,48,,Large Protein Complex,Nuclear and Cytosolic
HDHD2,unclassified,48,,,Mostly Cytosolic
HMMR,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
KLHDC4,unclassified,48,,Large Protein Complex,Broad distribution
LAGE3,unclassified,48,,,Mostly Cytosolic
LTV1,unclassified,48,,Large Protein Complex,Broad distribution
METTL13,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
MID1,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
MRNIP,unclassified,48,,,
NOSIP (Q9Y314),unclassified,48,,Large Protein Complex,Organellar and Cytosolic
ORC6,unclassified,48,,Large Protein Complex,Mostly Nuclear
OTUD3,nucleus,48,,No Prediction,Mostly Organellar
PC4,unclassified,48,,,
PDCD2L,unclassified,48,,Large Protein Complex,Nuclear and Cytosolic
PHF20L1,unclassified,48,,,Mostly Nuclear
PPIL2,unclassified,48,,Large Protein Complex,Broad distribution
PPIL4,unclassified,48,,Large Protein Complex,Broad distribution
RAD54B,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
RNASEH1,unclassified,48,,Large Protein Complex,Mostly Organellar
RNF138,unclassified,48,,,Nuclear and Cytosolic
RTF2,unclassified,48,,Large Protein Complex,Broad distribution
SDE2,unclassified,48,,Large Protein Complex,Nuclear and Cytosolic
SHB,unclassified,48,,,Mostly Organellar
SKA1,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
SKA3,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
STEEP1,unclassified,48,,Large Protein Complex,Broad distribution
TCEA1,unclassified,48,,Large Protein Complex,Broad distribution
TSR3,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
TULP3,unclassified,48,,,Mostly Organellar
UIMC1,unclassified,48,,,Mostly Nuclear
UNC13B,unclassified,48,,,Mostly Cytosolic
USP22,unclassified,48,,Large Protein Complex,Organellar and Cytosolic
ZC3HAV1L,unclassified,48,,Large Protein Complex,Broad distribution
ZNRD2,unclassified,48,,,Mostly Cytosolic
ABT1,nucleolus,49,,,Mostly Nuclear
ANKRD26,nucleolus,49,,,Organellar and Cytosolic
ASPM,nucleolus,49,,Large Protein Complex,Broad distribution
BLM,nucleolus,49,,Large Protein Complex,Broad distribution
CAAP1,nucleus,49,,Large Protein Complex,Broad distribution
CCNK,nucleolus,49,,Large Protein Complex,Broad distribution
CDC20,nucleus,49,,Large Protein Complex,Organellar and Cytosolic
CDK13 (Q14004),translation,49,,Large Protein Complex,Mostly Nuclear
CGGBP1,nucleolus,49,,Large Protein Complex,Mostly Nuclear
DDX10,nucleolus,49,,Large Protein Complex,Mostly Nuclear
DDX24,nucleolus,49,,Large Protein Complex,Broad distribution
DGCR8,nucleolus,49,,Large Protein Complex,Broad distribution
ECT2,nucleolus,49,,Large Protein Complex,Broad distribution
EXOSC10,nucleolus,49,,Large Protein Complex,Broad distribution
GEN1,nucleolus,49,,,
GNL2,nucleolus,49,,Large Protein Complex,Broad distribution
GNL3,nucleolus,49,,Large Protein Complex,Broad distribution
GTSE1,nucleolus,49,,Large Protein Complex,Broad distribution
LARP7,nucleolus,49,,Large Protein Complex,Broad distribution
LSM14B (Q9BX40),p-body,49,,Large Protein Complex,Organellar and Cytosolic
MAP3K20,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
MED1,translation,49,,Large Protein Complex,Mostly Nuclear
MEPCE,nucleolus,49,,Large Protein Complex,Broad distribution
NKRF,nucleolus,49,,Large Protein Complex,Mostly Nuclear
NOL12,nucleolus,49,,Large Protein Complex,Mostly Nuclear
NOM1,nucleolus,49,,,Mostly Nuclear
NVL,nucleolus,49,,Large Protein Complex,Broad distribution
PHF10,nucleolus,49,,Large Protein Complex,Nuclear and Cytosolic
PHRF1,nucleus,49,,,Mostly Nuclear
PNMA8A,nucleolus,49,,,
POP1,nucleolus,49,,Large Protein Complex,Broad distribution
PRPF4B,nucleolus,49,,Large Protein Complex,Mostly Nuclear
PWP1,nucleus,49,,Large Protein Complex,Nuclear and Cytosolic
RBBP6,nucleolus,49,,Large Protein Complex,Mostly Nuclear
RECQL4,nucleus,49,,,Mostly Cytosolic
RECQL5,nucleolus,49,,Large Protein Complex,Broad distribution
RPP30,nucleus,49,,Large Protein Complex,Nuclear and Cytosolic
RSBN1L,nucleolus,49,,Large Protein Complex,Mostly Nuclear
SART1,nucleolus,49,,Large Protein Complex,Broad distribution
SCAF1,nucleolus,49,,Large Protein Complex,Mostly Nuclear
SECISBP2,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
SENP3,nucleus,49,,Large Protein Complex,Mostly Nuclear
SLBP,nucleolus,49,,No Prediction,Organellar and Cytosolic
SLU7,nucleolus,49,,Large Protein Complex,Broad distribution
SMG8,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
SON (P18583),nucleus,49,,Large Protein Complex,Mostly Nuclear
SPATS2,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
SPATS2L,translation,49,,Large Protein Complex,Organellar and Cytosolic
SRPK1,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
SRPK2,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
TAF10,nucleolus,49,,Large Protein Complex,Nuclear and Cytosolic
TAF2 (Q6P1X5),nucleolus,49,,Large Protein Complex,Broad distribution
TAF8,nucleolus,49,,Large Protein Complex,Broad distribution
TNRC6B,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
TOE1,nucleolus,49,,Large Protein Complex,Broad distribution
TRMT1L,nucleolus,49,,Large Protein Complex,Broad distribution
USP16,nucleolus,49,,Large Protein Complex,Organellar and Cytosolic
ZC3H8,nucleolus,49,,Large Protein Complex,Broad distribution
ADCY6,plasma_membrane,50,plasma membrane,Plasma membrane,Mostly Organellar
AHCYL2,plasma_membrane,50,,,Mostly Cytosolic
AHNAK2,plasma_membrane,50,,Large Protein Complex,Organellar and Cytosolic
AKAP5 (Q6PG46),plasma_membrane,50,,,
ARHGEF6,plasma_membrane,50,,,
ATP1A4,plasma_membrane,50,,,
C1orf159,early_endosome,50,,,
CABLES2,plasma_membrane,50,,,
CD40,plasma_membrane,50,,,
CDC42BPB (H0YLY0),actin_cytoskeleton,50,,Large Protein Complex,Organellar and Cytosolic
CDON,plasma_membrane,50,,,
CELSR2,plasma_membrane,50,,Plasma membrane,Mostly Organellar
CNTFR,plasma_membrane,50,,,
CSPG4,plasma_membrane,50,plasma membrane,Plasma membrane,Mostly Organellar
CSPG5,plasma_membrane,50,,,
DAAM2,plasma_membrane,50,,,
DAB2,plasma_membrane,50,,Plasma membrane,Broad distribution
DIP2C,plasma_membrane,50,,,
DKFZp686K101,plasma_membrane,50,,,
DOCK5,plasma_membrane,50,,Large Protein Complex,Organellar and Cytosolic
DST (A0A0U1RQJ2),plasma_membrane,50,,Ergic/cisGolgi,Broad distribution
EHD2,plasma_membrane,50,,Large Protein Complex,Broad distribution
EHD3,plasma_membrane,50,,,
EVA1B,plasma_membrane,50,,,Mostly Organellar
FAS,plasma_membrane,50,plasma membrane,Plasma membrane,Mostly Organellar
FMN2,plasma_membrane,50,,,
GPR50,plasma_membrane,50,,,
HYCC1 (A0A0S2Z6M9),plasma_membrane,50,,Large Protein Complex,Organellar and Cytosolic
ITPKA,plasma_membrane,50,,,
KCTD10,actin_cytoskeleton,50,,Plasma membrane,Mostly Organellar
LRRC4B,plasma_membrane,50,,,
LRRC8B,plasma_membrane,50,,,
MAP3K1,plasma_membrane,50,,,Mostly Organellar
MELTF,plasma_membrane,50,plasma membrane,Plasma membrane,Mostly Organellar
MIPOL1,plasma_membrane,50,,,
NECTIN1,plasma_membrane,50,,,
NRCAM,plasma_membrane,50,,,
PARD6B,plasma_membrane,50,,,Mostly Cytosolic
PHLDA3,plasma_membrane,50,plasma membrane,Plasma membrane,Mostly Organellar
PLCB1,plasma_membrane,50,,,
PLCB4,plasma_membrane,50,,,
PSD3,plasma_membrane,50,,,Mostly Organellar
RADIL,plasma_membrane,50,,,
RHOF,plasma_membrane,50,plasma membrane,Plasma membrane,Mostly Organellar
ROBO2,plasma_membrane,50,,,
RTN4R,plasma_membrane,50,,,Mostly Organellar
S100A10,plasma_membrane,50,plasma membrane,Plasma membrane,Broad distribution
SDC3,plasma_membrane,50,,,
SDK1,plasma_membrane,50,,,
SEPTIN5,plasma_membrane,50,,,
SHROOM3,14-3-3_scaffold,50,,Large Protein Complex,Organellar and Cytosolic
SLC44A1,plasma_membrane,50,,Large Protein Complex,Mostly Organellar
SRCIN1,plasma_membrane,50,,,
SYT7,plasma_membrane,50,,,Mostly Organellar
TNFAIP1,plasma_membrane,50,,Plasma membrane,Broad distribution
TRPM7,plasma_membrane,50,,ER,Mostly Organellar
TTC7A,plasma_membrane,50,,Large Protein Complex,Mostly Organellar
TUB,plasma_membrane,50,,,
AAMP,cytosol,51,,Large Protein Complex,Mostly Cytosolic
AKAP7,cytosol,51,,,
ALDH16A1,cytosol,51,,Endosome,Organellar and Cytosolic
ATG4A,cytosol,51,,,Mostly Cytosolic
B4DZC9[p],cytosol,51,,,
BDH2,cytosol,51,,No Prediction,Mostly Cytosolic
CALCOCO1,cytosol,51,,,Mostly Cytosolic
CCNH,nucleus,51,,Large Protein Complex,Broad distribution
CLIC6,cytosol,51,,,
CNDP2,cytosol,51,,Large Protein Complex,Mostly Cytosolic
CTH,cytosol,51,,Large Protein Complex,Mostly Cytosolic
DCAF1,cytosol,51,,Large Protein Complex,Mostly Cytosolic
DDA1,cytosol,51,,,Mostly Cytosolic
DPYSL2,cytosol,51,,Large Protein Complex,Mostly Cytosolic
DVL1,cytosol,51,,,Mostly Cytosolic
EAPP,cytosol,51,,,Mostly Cytosolic
EIF2B4 (A0A087WTA5),cytosol,51,,Large Protein Complex,Organellar and Cytosolic
ENOSF1,cytosol,51,,,Mostly Cytosolic
FAM161A,cytosol,51,centrosome,,
FBXW4,cytosol,51,,,Mostly Organellar
FHIP1B,cytosol,51,,,Mostly Cytosolic
GAB1,cytosol,51,,,Mostly Cytosolic
GFPT1,cytosol,51,,Large Protein Complex,Mostly Cytosolic
GGCT,cytosol,51,,Large Protein Complex,Mostly Cytosolic
GMPPA,cytosol,51,,Large Protein Complex,Mostly Cytosolic
GMPPB,cytosol,51,,,Mostly Cytosolic
GMPR2,cytosol,51,,Large Protein Complex,Mostly Cytosolic
HEBP2,cytosol,51,,,Mostly Cytosolic
IL18R1,cytosol,51,,,
INPPL1,cytosol,51,,Large Protein Complex,Mostly Cytosolic
MAEA,cytosol,51,,Large Protein Complex,Mostly Cytosolic
MAPK9,cytosol,51,,,Mostly Cytosolic
MPLKIP,cytosol,51,,Large Protein Complex,Organellar and Cytosolic
NAE1,cytosol,51,,Large Protein Complex,Mostly Cytosolic
NRDC,cytosol,51,,Large Protein Complex,Mostly Cytosolic
OC43_N[p],cytosol,51,,,
PAPSS1,cytosol,51,,,Mostly Cytosolic
PPIL3,cytosol,51,,Large Protein Complex,Nuclear and Cytosolic
PPP2R3A,cytosol,51,,,Mostly Cytosolic
PPP4C,cytosol,51,,,Mostly Cytosolic
PPP4R2,cytosol,51,,,Mostly Cytosolic
PSMD9,cytosol,51,,Large Protein Complex,Mostly Cytosolic
RABGGTB,cytosol,51,,Large Protein Complex,Mostly Cytosolic
RABL2B,cytosol,51,,,Mostly Cytosolic
RBIS,cytosol,51,,,Broad distribution
RMND5A,cytosol,51,,Plasma membrane,Mostly Cytosolic
RPGR,cytosol,51,,,Mostly Cytosolic
SH3BGRL3,cytosol,51,actin-binding_protein,Actin binding proteins,Broad distribution
SORD,cytosol,51,,Large Protein Complex,Mostly Cytosolic
SPAG7,cytosol,51,,Large Protein Complex,Broad distribution
SRGAP3,cytosol,51,,,
SWAP70 (B3KUB9),cytosol,51,,Large Protein Complex,Broad distribution
TBPL1,cytosol,51,,,Mostly Cytosolic
TPGS2,cytosol,51,,,Mostly Cytosolic
TPM1 (D9YZV5),cytosol,51,,Golgi,Mostly Cytosolic
TUBB2A,cytosol,51,,,Mostly Cytosolic
UBR3,cytosol,51,,,Mostly Cytosolic
WDR4,cytosol,51,,,Mostly Cytosolic
ADGRL2,plasma_membrane,52,,,
ALCAM,plasma_membrane,52,,Plasma membrane,Mostly Organellar
ARL15,plasma_membrane,52,,,Mostly Organellar
ATP1B1,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
ATP2B1,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
BCAM,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
CACHD1,plasma_membrane,52,,,
CACNA2D1,plasma_membrane,52,,,
CD81,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
CD9,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
CDCA3,plasma_membrane,52,,Plasma membrane,Mostly Organellar
CDH2,plasma_membrane,52,,,
CLDN12,plasma_membrane,52,,,Mostly Organellar
CTDSPL,plasma_membrane,52,,Plasma membrane,Mostly Organellar
DAAM1,plasma_membrane,52,,,Mostly Organellar
DLG1 (A0A590UJD9),plasma_membrane,52,,Plasma membrane,Mostly Organellar
DLG3,plasma_membrane,52,,Plasma membrane,Mostly Organellar
EFNB2,plasma_membrane,52,,,
EFR3A,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
EGFR,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
ENPP1,plasma_membrane,52,,,
F11R,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
FLT4,plasma_membrane,52,,,
GPC4,plasma_membrane,52,,,
GRK6,plasma_membrane,52,,,Mostly Organellar
IGSF3,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
IGSF8,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
INPP5A,plasma_membrane,52,,Plasma membrane,Mostly Organellar
IQGAP2,plasma_membrane,52,,,
ITGA2,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
ITGA5,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
ITGA6,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
JUP,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
KIRREL1,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
KRAS (I1SRC5),plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
MCAM,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
MOXD1,plasma_membrane,52,,,
NCR3LG1,plasma_membrane,52,,,
NECTIN2,plasma_membrane,52,,Plasma membrane,Mostly Organellar
NRAS,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
PACSIN2,plasma_membrane,52,,Large Protein Complex,Organellar and Cytosolic
PALM,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
PCDH7,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
PLEKHO1,plasma_membrane,52,,,
PRNP,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
PTK7,plasma_membrane,52,,,
PTPRA,plasma_membrane,52,,Plasma membrane,Mostly Organellar
PTPRS,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
RALB,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
RAP2A,plasma_membrane,52,,,Mostly Organellar
RAP2C,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
RHOQ,plasma_membrane,52,,,
SCARB1,plasma_membrane,52,ER,ER,Mostly Organellar
SLC1A4,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
TYK2,plasma_membrane,52,,Plasma membrane,Mostly Organellar
ULBP3,plasma_membrane,52,,Plasma membrane,Mostly Organellar
ZDHHC5,plasma_membrane,52,plasma membrane,Plasma membrane,Mostly Organellar
ADNP2,nucleus,53,,,Mostly Nuclear
ATXN7L3,nucleus,53,,,Mostly Nuclear
B4DLF8[p],nucleus,53,,,
B9D2,nucleus,53,,,
BAZ2B (H7C1I6),nucleus,53,,,Mostly Nuclear
BBX (Q8WY36),nucleus,53,,,Mostly Nuclear
BCL11A,nucleus,53,,,
BCL7C,nucleus,53,,,Mostly Nuclear
BICRA,nucleus,53,,,
BIRC5,nucleus,53,,,Broad distribution
BRD1 (A0A024R4V5),nucleus,53,,,Mostly Nuclear
CASP8AP2,nucleus,53,,,Mostly Nuclear
CASZ1,nucleus,53,,,Nuclear and Cytosolic
CDCA2,nucleus,53,,,Mostly Nuclear
CDX2 (A0A0M3L9V7),nucleus,53,,,
CENPK,nucleus,53,,,Nuclear and Cytosolic
DUSP14,nucleus,53,,,Mostly Nuclear
EP400,nucleus,53,,,Mostly Nuclear
HOXB13,nucleus,53,,,
KMT2C,nucleus,53,,Endosome,Mostly Organellar
KMT5B,nucleus,53,,,Mostly Nuclear
LCOR (A0A6Q8PGP3),nucleus,53,,,Mostly Nuclear
LCOR (A0A6Q8PGL8),nucleus,53,,,Mostly Nuclear
LRIF1,nucleus,53,,,Mostly Nuclear
