© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
LOXL3	enzyme	1.55E-05	AGR2,DERL3,DNAJB11,DNAJC3,HSP90B1	 
lipofermata	chemical reagent	1.58E-05	ATF4,ATF6,BCL2,CALR,DDIT3,HSP90B1,HSPA5,XBP1	 
APP	other	1.59E-05	ABL1,AKT1,AP3B2,ARF4,ARF5,ARF6,ATF4,ATG5,ATG7,AXL,BAX,BCL2,BCL2L11,BECN1,CALR,CANX,CAPN1,CLTA,CLTB,CLTC,CSNK2A1,CSNK2A2,CUL3,DDIT3,DNAJC5,EEA1,EIF2A,EIF2AK3,ERN1,EXT1,FKBP1A,FKBP1B,HERPUD1,HMGCR,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPA9,HSPB1,HYOU1,IGF1R,ITPR3,MAPK8,MGAT3,MTOR,NAPB,NAPG,NBR1,NCOA3,PACS2,PAK1,PPIA,PSMC3,PSME1,RAB5A,ROCK1,RYR3,SNAP25,ST3GAL5,ST6GAL1,ST8SIA1,ST8SIA4,STUB1,STX1B,TBC1D4,TNFRSF10B,TP53,TRIM21,UBE2K,VAMP2,VAMP3	375 (13)
FIIN-2	chemical drug	1.61E-05	BAX,BCL2,MTOR,PIK3C3	 
AF8c	chemical drug	1.61E-05	ATF4,DDIT3,HSP90B1,TNFRSF10B	 
FICD	enzyme	1.61E-05	DNAJB1,HSP90AA1,HSPA1A/HSPA1B,HSPB1	 
RGS2	enzyme	1.98E-05	C1GALT1,CHMP4B,CTSA,ERP29,GNPTG,HEXB,HSP90B1,PDIA4,PPIB,RAB31,SDF2L1,SSR4,ST6GAL1,UGCG,VAMP7	 
salinosporamide A	chemical drug	2.10E-05	ATF4,BAX,BCL2,DDIT3,ERN1,HERPUD1,HSPA5,TNFRSF10B	52 (3)
CLOCK	transcription regulator	2.11E-05	AKT3,CHST3,CNIH1,DDIT3,DNAJB9,FKBP5,GALNT11,GNPTAB,HAS2,HSPH1,KIF20A,MAPK8,MBTPS1,MGAT2,PIGA,POMGNT1,PPIF,RABGAP1,RAD23A,SEC23A,SEL1L,ST3GAL5,ST6GALNAC4,STX12,TMED3,TMX1,TPST1	 
SERPINA1	other	2.16E-05	ARFGAP3,ATF4,ATF6,DDIT3,DERL1,DERL3,HSP90B1,HSPA5,HSPH1,PDIA3,SYVN1,VCP,XBP1	317 (8)
PACS1	other	2.17E-05	DDIT3,HSPA5,ITPR1,ITPR2,ITPR3,TP53	 
TSG101	transcription regulator	2.17E-05	IGF1R,PDCD6,RAB11A,RAB11FIP3,TP53,TSG101	 
monorden	chemical - endogenous non-mammalian	2.17E-05	BAX,DDIT3,DNAJB1,HSP90B1,HSPA5,IRS1	215 (8)
LH (complex)	complex	2.17E-05	ACTR2,ARHGAP1,ARPC1A,ARPC4,ATP2A2,AXL,BAG1,BECN1,CSNK1A1,FKBP5,HAS2,HMGCR,ITPR1,MAP3K5,PGRMC1,PLIN3,PPIH,PSMD1,PSMD3,PTPN1,RAB14,RAB1A,RAB27A,RAB2A,RAB31,RAB33B,RAB4A,RAB5A,RAB5C,SNAP23,SNAP25,TMBIM6,TP53	 
palmitic acid	chemical - endogenous mammalian	2.33E-05	ABL2,AKT1,ATF4,ATF6,ATG5,ATG7,BAK1,BAX,BCL2,BCL2L11,BECN1,CALR,CNIH3,DDIT3,DGAT2,EIF2AK3,ERN1,FBXO2,FOXO1,HSP90B1,HSPA5,HYOU1,IRS1,MGAT4A,MTOR,NSFL1C,PLIN2,PSMA1,PSMB5,PSMC1,PSMC2,PSMC3,PSMC4,PSMD2,PTPN1,RAD23B,SKP1,TNFRSF10B,TP53,UBQLN1,USP14,VCP,XBP1	340 (12)
farnesol	chemical reagent	2.49E-05	DDIT3,HERPUD1,HSP90B1,HSPA5,PDIA4,TP53,XBP1	 
TYA-018	chemical reagent	2.50E-05	ARHGDIA,BAG2,CALR,CHMP6,COPS6,DDIT3,DGAT2,FKBP3,FKBP4,HSPA9,HSPB8,P4HB,PDIA3,POMP,PPIL1,PSMA4,PSMB6,PSMC4,PSMD4,RYR2,STUB1,TMX4,TRAP1	 
LOX	enzyme	2.76E-05	AGR2,BCL2,DERL3,DNAJB11,DNAJC3,HSP90B1,HSPA5,IGF1R	 
TCF4	transcription regulator	2.78E-05	AKT1,ARHGEF6,B4GALT1,BAG2,CCT6A,CKAP4,EDEM1,FKBP11,FKBP7,FKBP8,FOXO1,HS3ST2,HSP90B1,HSPA13,HSPBP1,HYOU1,OPTN,PDIA4,PDIA6,PIK3CA,PML,PPID,PPIF,PPIH,PRDX4,SDF2L1,SEC11C,SEC24D,SEC63,SLC35B1,SPCS2,STX5,TXNDC5,XBP1	 
miR-122-5p (miRNAs w/seed GGAGUGU)	mature microRNA	2.86E-05	AKT3,AP3M2,GALNT10,HMGCR,P4HB,PSME1,PSME3,RAB11FIP1,RAB6B,SLC35A4,TMED3,TP53,TRPV6	 
Pln	other	3.00E-05	HSP90B1,RAB10,RAB1A,RAB21,RAB5B,RACK1,RYR2,SEC22B,VAMP2,VAMP3,VCP	 
SYVN1	transporter	3.07E-05	AXL,CALM1 (includes others),CSNK1A1,ERN1,EXT2,GANAB,GGCX,HSPB1,IGF1R,PPP1R15B,PSMC3,RAB10,RAB34,RPN2,SLC35B2,SLC35C2,SNAP23,SYVN1,VAMP7	 
OSBPL8	transporter	3.35E-05	ATF4,DDIT3,EIF2AK3,EIF2S1,HMGCR,HSPA5	 
pirinixic acid	chemical toxicant	3.38E-05	AP3M1,BAX,CCT3,CCT6A,CCT7,DAD1,DNAJB2,FKBP1A,FURIN,HMGCR,HSP90AA1,HSPB1,PLIN2,PPIC,PPID,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA7,PSMB1,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC6,PSMD14,PSMD4,PSME1,ST3GAL5,TP53,UBE2K,UBQLN2,USP14	382 (13)
MFN2	enzyme	3.45E-05	ATF4,BAX,BCL2,DDIT3,EIF2A,P4HB,XBP1	363 (15)
celecoxib	chemical drug	4.08E-05	AKT1,ATF4,ATG5,B3GALT5,BAK1,BAX,BCL2,BECN1,DDIT3,DNAJB9,HSPA5,IGF1R,MAPK8,ST3GAL3,ST3GAL4,TNFRSF10B,TP53	349 (15)
ceruletide	biologic drug	4.52E-05	ARHGEF2,ATF4,DDIT3,DNAJA1,EEA1,FURIN,HSPA5,HSPB1,HSPH1,PDIA2,PIK3CA,PLIN3,TRIM5,VPS16,XBP1	 
IXA4	chemical reagent	4.66E-05	DNAJB9,HSPA5,SEC24D,XBP1	 
CNGB3	ion channel	4.66E-05	CAPN2,DDIT3,EIF2A,HSPA5	36 (3)
SEC63	transporter	4.66E-05	HSP90B1,HSPA5,PKD1,PKD2	 
PSMB5	peptidase	4.66E-05	ATG5,ATG7,PSMB1,PSMB2	232 (6)
fluoride	chemical - endogenous mammalian	4.90E-05	ABL1,ACTR3,BAX,DDIT3,HSPA1A/HSPA1B,HSPA1L,HSPA2,HSPA5,MAPK8,RACK1,UBQLN4,VCP,XBP1	 
HSPA5	enzyme	5.05E-05	ATF6,BAX,BCL2,CHST15,DDIT3,DNAJB9,EIF2A,EIF2AK3,ERN1,HSP90AA1,HSP90B1,HSPA5,HSPA8,P4HB,XBP1	333 (12)
peoniflorin	chemical drug	6.28E-05	CLTA,PDIA3,PPIF,PSMB7,SAR1B,SNAP25,UBE2N	 
FHIT	enzyme	7.35E-05	BAK1,RAB11A,RAB1A,RAB2A,RAB31,RAB5A,RAB6C/RAB6D,RAB7A	 
dexlansoprazole	chemical drug	7.81E-05	ATF6,EIF2AK3,ERN1	 
BIRC6	enzyme	7.81E-05	BAK1,BAX,TP53	201 (8)
SDF4	other	7.81E-05	BAX,HSPA5,XBP1	143 (4)
CASQ1	other	7.81E-05	DDIT3,HSPA5,XBP1	 
PPP1R1A	phosphatase	7.81E-05	ERN1,HSPA5,PDIA2	 
piperlongumine	chemical - endogenous non-mammalian	7.81E-05	ATF4,DDIT3,HSPA5	 
TBC1D10A	other	7.81E-05	RAB27A,RAB8A,TBC1D10A	 
SEC23B	transporter	7.81E-05	BAX,EIF2A,HSP90B1	 
FKBP1B	enzyme	7.81E-05	FKBP1B,MTOR,RYR2	 
Manf	other	7.81E-05	HSP90B1,HSPA5,PDIA6	 
5-phenylvaleric acid	chemical reagent	7.81E-05	ATF4,DNAJB9,XBP1	 
MEDICA 16	chemical reagent	7.81E-05	DDIT3,EIF2S1,HSPA5	 
BAX	transporter	8.48E-05	BAK1,BAX,BCL2,BCL2L11,DNAJB2,DNAJB9,EDEM1,ERO1A,PDIA6,XBP1	201 (7)
GYY 4137	chemical reagent	8.74E-05	EIF2A,EIF2AK3,HSPA5,ITPR1,ITPR2	 
MT (family)	group	8.74E-05	BCL2,DDIT3,EIF2AK3,ERN1,HSPA5	272 (10)
PLN	transporter	8.96E-05	HSP90B1,RAB10,RAB1A,RAB21,RAB5B,RACK1,RYR2,SEC22B,VAMP2,VAMP3,VCP	 
KLF3	transcription regulator	9.38E-05	AP1M2,ARFGAP2,ARPC4,ATF4,ATP2A3,BCAP29,BCL2,CAPNS1,CCT3,EXTL1,GALNT1,GCNT1,GIT2,HEXB,HM13,HS3ST1,JKAMP,LMAN2L,MAN2A2,PSMB2,PSMC5,PSMD7,RAB33B,RAB7A,RYR1,SEC16B,SEC24D,SERPINH1,TRAPPC1,TRIM36,UGCG,VPS16	 
INSULIN (family)	group	9.96E-05	AKT1,APPL1,ARF1,ATG7,BCL2,BECN1,CANX,CCT2,CCT4,CCT5,CCT6A,CCT7,CCT8,CRYAB,DDIT3,DGAT2,DNAJA2,DNAJB4,ERO1A,ERP29,FKBP2,FKBP8,FOXO1,GPLD1,HMGCR,HSP90AA1,HSP90B1,HSPA4,HSPA5,HSPA8,HSPA9,IGF1R,IRS1,MTOR,OGT,P4HB,PDIA2,PLIN2,PLIN3,PPIA,PPIB,PPIC,PTPN1,ROCK2,SNAP25,STX4,TCP1,TP53,TRPV1,UBE2D2,UGT8,VAMP2,VAMP5,VTI1A,XBP1	397 (16)
POGLUT3	enzyme	1.01E-04	ATF4,DDIT3,EDEM1,EIF2AK3,HSPA5,XBP1	 
miR-30c-5p (and other miRNAs w/seed GUAAACA)	mature microRNA	1.02E-04	ATP2A2,BECN1,GALNT1,GALNT7,NAPG,PLOD2,RAB27B,RAD23B,SEC23A,SEC62,STX1A,STX7,TMED10,TMED2,TMED3,TMED7,TNFRSF10B,TP53,TXNDC5	62 (3)
FOXR1	transcription regulator	1.05E-04	DNAJC6,HSPA12A,HSPA1A/HSPA1B,HSPA6	 
SLC5A8	transporter	1.05E-04	BAX,BCL2,TNFRSF10B,TP53	 
GJA8	transporter	1.05E-04	ATF4,ATF6,CALR,DDIT3	135 (6)
THOC1	transcription regulator	1.05E-04	BAK1,BAX,BCL2L11,CALR	 
CB-5083	chemical drug	1.05E-04	ATG5,ATG7,DDIT3,HSPA5	203 (7)
IMMUNOGLOBULIN LAMBDA LIGHT CHAIN (family)	group	1.05E-04	DDIT3,ERN1,HSPA5,XBP1	 
sphinganine	chemical - kinase inhibitor	1.05E-04	BAX,BCL2L11,FOXO1,TP53	 
TRPM2	ion channel	1.14E-04	ATG5,ATG7,BECN1,EIF2A,ERN1,ERO1A,HSPA5,PDIA3	318 (9)
ammonium	chemical - endogenous mammalian	1.34E-04	AP3B1,ARPC3,BCL2L11,CAPN1,CAPNS1,CCT6A,COPS5,DDOST,ERO1A,FKBP11,GALNT15,PSMB4,PSMC5,PSMD14,PSME3,RPN1,SORCS2,STX7,UGGT1,USO1,XXYLT1	 
TWIST (family)	group	1.37E-04	B4GALNT1,SERPINH1,ST3GAL2,ST3GAL5,ST8SIA1	 
RET	kinase	1.39E-04	ATF4,BCL2,CRYAB,DNAJA1,DNAJB2,DNAJC3,FKBP4,HSP90AA1,HSPA1A/HSPA1B,HSPA1L,HSPA8,HSPA9,HSPH1,PLOD2,RNF19A,STUB1,TP53,UBQLN2	296 (10)
salubrinal	chemical reagent	1.40E-04	ATF4,ATF6,EIF2S1,HSPA5,SNAP25,XBP1	 
NCD-38	chemical reagent	1.40E-04	ATF4,DDIT3,EIF2AK3,ERN1,HERPUD1,HSPA5	224 (10)
(1S,2R)-NCL-1	chemical reagent	1.40E-04	ATF4,DDIT3,EIF2AK3,ERN1,HERPUD1,HSPA5	224 (10)
mir-148 (includes others)	microRNA	1.46E-04	BCL2,BCL2L11,IGF1R,RAB3IP,RAB6A,RAB8A,ROCK1,SKP1,STX12	 
L-glutamic acid	chemical - endogenous mammalian	1.51E-04	BAG3,BAX,BCL2,BCL2L11,DERL1,HEXA,HMGCR,LMAN2L,PIGU,PLIN2,ROCK1,ROCK2,SRP14,TBC1D13,TP53,UBR7,UBXN4,VIPAS39	302 (13)
ATF4	transcription regulator	1.68E-04	ARHGAP24,ATF4,ATF6,ATG5,CALR,CANX,DDIT3,ERO1A,FUT7,HERPUD1,HSP90B1,HSPA5,HYOU1,NAPA,NAPB,PRKN,SEL1L,STX5,TBC1D16,TNFRSF10B,TXNDC12,WFS1	123 (5)
medroxyprogesterone acetate	chemical drug	1.71E-04	ABL1,AKT3,ALG1,ALG2,ALG3,ALG5,ALG9,AP1S1,AP3B2,ARPC1B,B4GALT1,BAX,BCL2,BCL2L11,CAPN2,DDOST,DPM3,EOGT,FOXO1,FUT8,GANAB,GLB1,GNPTAB,HSP90B1,MAN1A2,MANBA,MAPK10,MAPK8,MGAT5,MOGS,OGT,PAK1,RPN1,RPN2,ST6GAL1,STT3A,TNFRSF10B,TP53,WDR38	400 (10)
SESN2	enzyme	1.89E-04	ATF4,BAX,BCL2,DDIT3,EIF2AK3,HSPA5	272 (13)
144DG11	chemical reagent	2.03E-04	COG2,GOSR1,HSPA4L,NSFL1C,PSMC3,RAB4B,UBQLN1,VPS16,VPS25,VPS28,VPS51	 
CTNS	transporter	2.03E-04	ATF4,DDIT3,HSPA5,PDIA3	 
HSD17B12	enzyme	2.03E-04	CUL1,DDIT3,ERP44,SKP1	 
ACADVL	enzyme	2.03E-04	ATP2A2,DDIT3,HSPA5,RYR2	 
YWHAG	other	2.06E-04	BAX,CCT6A,HYOU1,NAPA,TP53	 
5-fluorouracil	chemical drug	2.36E-04	ATF4,ATG5,BAK1,BAX,BCL2,BCL2L11,BECN1,CANX,CAPNS1,CCT3,CCT4,CCT6A,COPS8,ERN1,FKBP1A,FOXO1,HSP90AB1,HSPA4L,HSPA8,OGT,PSMA6,PSMA7,PSMB1,PSMB2,PSMB5,PSMB7,PSMD2,PSME1,PSME2,SEC61A1,SRP9,SSR4,TNFRSF10B,TP53	251 (10)
PPP1R15A	other	2.50E-04	ATF4,DDIT3,EIF2S1,HSPA5,SNAP25,XBP1	 
probucol	chemical drug	2.50E-04	BCL2,PSMA1,PSMA2,PSMA3,PSMA4,TP53	 
NDRG3	other	2.61E-04	EIF2AK1,EIF2AK3,GALNT1,GXYLT1,ITPR1,MBTPS1,MGAT4B,RAB11FIP2,SEL1L,SRPRA,TMED7	 
E2F1	transcription regulator	2.71E-04	ACTR3,AGR2,AKT1,ALG5,ATG5,ATG7,BAK1,BAX,BCL2,BCL2L11,BECN1,CALM1 (includes others),CALR,CCNF,CCT2,CCT4,COPS8,CRYAB,DDIT3,EIF2AK2,FKBP3,FOXO1,HSP90B1,HSPA8,IRS1,KIF23,MAP2K7,MAP3K5,NCOA3,OGT,PIK3C3,PSMB9,PSMD2,RAB1A,RBSN,ROCK2,SRPRA,TAPBP,TMX1,TP53,TRAP1,ULK1,VCP	397 (15)
FUS	transcription regulator	2.80E-04	ATF4,CALM1 (includes others),DNAJC7,EIF2A,HSP90B1,HSPA4,HSPA4L,HSPA5,HSPA9,PRKN	116 (5)
48S RIBOSOME (complex)	complex	2.98E-04	ATF4,BCL2,DDIT3,HSPA5,IGF1R	 
sphinx31	chemical drug	3.02E-04	AKT1,ATF4,DDIT3	 
tagitinin C	chemical - endogenous non-mammalian	3.02E-04	CANX,EIF2AK3,ERN1	 
ATF6B	transcription regulator	3.02E-04	DDIT3,HSPA5,XBP1	43 (4)
USE1	other	3.02E-04	DDIT3,HSPA5,XBP1	15 (2)
HSPBP1	other	3.02E-04	HSPA1A/HSPA1B,HSPA1L,HSPA2	 
CDK5RAP3	other	3.02E-04	CANX,DDIT3,HSPA5	 
NKAP	transcription regulator	3.02E-04	ST8SIA1,ST8SIA4,ST8SIA6	 
1-deoxysphinganine	chemical - endogenous non-mammalian	3.02E-04	ATF4,ATF6,XBP1	 
BOK	other	3.02E-04	ITPR1,ITPR2,ITPR3	 
AGO4	translation regulator	3.02E-04	BCL2L11,HSPA5,TRIM21	 
PDIA6	enzyme	3.02E-04	HSP90B1,HSPA5,PDIA6	 
LOXL4	enzyme	3.02E-04	AGR2,DNAJB11,DNAJC3	 
VNN1	enzyme	3.02E-04	BCL2,GLB1,TP53	 
aloin	chemical reagent	3.02E-04	AKT1,AKT3,HSP90AA1	 
bilobalide	chemical - endogenous non-mammalian	3.02E-04	BAX,BECN1,TP53	47 (3)
pantoprazole	chemical drug	3.02E-04	ATF6,EIF2AK3,ERN1	 
TGFB1	growth factor	3.14E-04	ABL1,AGR2,AKT1,AKT3,AP3S1,ARF1,ARF4,ARHGAP24,ARHGDIA,ARHGEF2,ARPC2,ATF4,ATF6,ATG5,ATG7,AXL,B3GALT2,B4GAT1,BAX,BCL2,BCL2L11,BECN1,CALM1 (includes others),CALR,CAPNS1,CCNF,CCT2,CCT5,CCT6A,CHMP3,CHST11,CHST3,CHST8,CNIH1,DAD1,DDIT3,DGAT2,DNAJA1,DNAJB4,DNAJB6,EXT1,EXT2,FKBP2,FOXO1,FURIN,FUT7,FUT8,GCNT1,GGA3,HAS1,HAS2,HAS3,HEXA,HEXB,HMGCR,HS6ST2,HSP90AA1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPB1,IGF1R,IRS1,ITPR1,ITPR2,KDELR2,KDELR3,LGALS9,MGAT3,MGAT4A,MGAT5,NCOA3,NDST1,NET1,NEU3,PGRMC1,PIGF,PIK3C3,PLOD1,PLOD2,PML,PPID,PRDX4,PSD2,PSMC1,PSMC3,PSMD1,PSME4,PSMG1,RAB18,RAB1A,RAB31,RAB6A,RAB9A,RACK1,ROCK2,RPN2,SAR1A,SAR1B,SEC61B,SERP1,SERPINH1,SLC35A1,SLC35A5,ST3GAL4,ST3GAL5,ST3GAL6,SYTL2,TBC1D1,TP53,TPST2,TXNDC5,UBE2J1,UBE2K,UBE4B,ULK1,USO1,UST,VAPB,VPS11,VPS28,WFS1,XBP1,XYLT1	457 (16)
4-O-carboxymethylascochlorin	chemical reagent	3.26E-04	ATG5,BECN1,CALR,DDIT3,HSPA5,PDIA3	 
emapalumab	biologic drug	3.38E-04	CALM1 (includes others),CUL1,MAPK10,MAPK9,PSMC6,RBX1,UBQLN2	 
SW016789	chemical reagent	3.53E-04	ATF4,DDIT3,HSPA5,XBP1	160 (4)
5-fluoro-2'-deoxycytidine	chemical drug	3.53E-04	BAK1,BAX,BCL2,TP53	 
prodigiosin	chemical toxicant	3.53E-04	BCL2,DDIT3,HSPA5,TNFRSF10B	197 (6)
ampelopsin	chemical drug	3.53E-04	BAX,BCL2,HSPA5,TP53	86 (3)
NTRK1	kinase	3.65E-04	B3GLCT,BCL2,CALR,CANX,CHST8,DDIT3,DNAJB11,DNAJC3,FBXO2,GALNT6,HERPUD1,HSP90B1,HSPA5,HSPA6,HYOU1,MAPK10,P4HB,PDIA3,PDIA4,PDIA6,PPIB,ROCK1,SDF2L1,SERPINH1,SYVN1,TP53,XBP1	227 (5)
KAT5	enzyme	3.65E-04	BAX,CALR,DDIT3,GALNT7,HERPUD1,HSP90B1,HSPA5,HYOU1,IRS1,MICALL2,PDIA4,PSMA7,PSMB7,PSMC4,PSMD12,PSMD6,SDF2L1,STX4,TP53,VPS53	65 (3)
CST5	other	3.84E-04	ADRM1,AP1M2,AP3B1,AP3D1,ARF6,ARHGEF2,BCAP31,COPS7A,COPS8,DNAJB11,DNAJB4,DOCK5,EXOC3,FBXO2,GALNT5,HS2ST1,ITPR3,MYO5B,PPIC,RAB25,SNF8,VPS25,VPS36,VTI1A,VTI1B	 
AFAP1-AS1	other	4.18E-04	ARHGDIA,BCL2,RAB10,RAB11A,RAB11B	 
SPTLC2	enzyme	4.18E-04	ATF4,DDIT3,EIF2AK3,HSPA5,XBP1	 
mannose	chemical - endogenous mammalian	4.18E-04	ATF4,HAS2,HSP90B1,HSPA5,PDIA3	140 (3)
8-bromo-cAMP	chemical reagent	4.18E-04	ABL1,AKT3,ALG1,ALG2,ALG3,ALG5,ALG9,AP1S1,AP3B2,ARPC1B,B4GALT1,BAX,CAPN2,CRYAA/LOC102724652,DDOST,DPM3,EOGT,FOXO1,FUT8,GANAB,GLB1,GNPTAB,HSP90B1,IGF1R,ITPR2,ITPR3,MAN1A2,MANBA,MAPK10,MAPK8,MGAT5,MOGS,OGT,PAK1,RPN1,RPN2,ST6GAL1,STT3A,TNFRSF10B,TP53	402 (10)
FBXW7	enzyme	4.96E-04	BAX,BCL2,BCL2L11,DDIT3,DGAT1,DGAT2,DNAJA1,HMGCR,HSPA8,HSPB1,HSPH1,PRKN,TP53	306 (10)
glucosamine	chemical - endogenous mammalian	5.32E-04	ATP2A2,BCL2,DDIT3,HAS2,HSP90B1,HSPA4,IGF1R,OGT,PSME3,TP53	341 (11)
DDIT3	transcription regulator	5.36E-04	ATF4,ATG5,BAK1,BAX,BCL2,BCL2L11,DDIT3,DNAJA1,ERO1A,FOXO1,GALNT4,HSPA5,STX1A,TNFRSF10B,XBP1	231 (8)
SLC13A1	transporter	5.47E-04	CHST7,COPB2,EDEM1,HSPA5,HSPA8,HSPB1,MKKS,RPN1,SDF2L1,SRPRA,STX6,XBP1	 
dinaciclib	chemical drug	5.69E-04	DDIT3,HSPA5,TNFRSF10B,XBP1	190 (5)
PHF21A	other	5.69E-04	RAB3A,SNAP25,STX1A,VAMP2	 
nirogacestat	chemical drug	5.69E-04	BAK1,BAX,BCL2,BCL2L11	118 (5)
arimoclomol	chemical drug	5.75E-04	CRYAB,GALNT5,MAN1A1,MAN2A1,POFUT2,TRIM21,TRIM22,UBA7	 
Celf1	other	5.75E-04	CRYAB,DNMBP,FKRP,NPLOC4,PGRMC1,PSMC3,SEC23A,WFS1	 
THBS4	other	6.04E-04	ATF4,ATF6,CALR,HSPA5,HYOU1,P4HB,SDF2L1	149 (5)
GCN2iB	chemical drug	6.04E-04	ATF4,PLIN2,POMP,PSMB10,PSMB3,PSMB8,PSMB9,PSMC4,PSMD13,PSME1,PSME2,RYR2	 
Pick1	other	6.06E-04	AKT1,ARHGAP1,ATF4,AXL,CHST2,FURIN,HSPA8,HSPB1,MGAT3,MICALL1,RAB13,RAB20,RAB3B,RAB5C,RAB7A,STX4,TBC1D2B,TBC1D4,VPS18,XBP1	 
CD36	transmembrane receptor	6.53E-04	ATF6,ATP2A2,AXL,DDIT3,DGAT1,EIF2AK3,ERN1,HSP90B1,HSPA5,IGF1R,PTPN1,TNFRSF10B,XBP1	374 (13)
PIK3CD	kinase	6.71E-04	BCL2,BCL2L11,EDEM1,GOSR2,HSPA5,HSPA9,PDIA3,PDIA4	320 (9)
tanshinone I	chemical - endogenous non-mammalian	7.32E-04	BAX,BCL2,TNFRSF10B	47 (3)
UBA5	enzyme	7.32E-04	CANX,DDIT3,HSPA5	 
UFC1	enzyme	7.32E-04	CANX,DDIT3,HSPA5	 
ICMT-DT	other	7.32E-04	BAX,BCL2,TP53	 
ERN2	kinase	7.32E-04	DDIT3,HSPA5,XBP1	190 (5)
PSMB1	peptidase	7.32E-04	ATG5,ATG7,PSMB5	232 (6)
FBP1	phosphatase	7.32E-04	BAX,BCL2,TP53	185 (6)
CELF2	other	7.32E-04	BAX,BCL2,TP53	118 (5)
BLOC1S6	other	7.32E-04	AP3D1,STX12,VAMP7	 
GSK-2606414	chemical reagent	7.32E-04	HSPA5,P4HB,PDIA4	 
RP11_394O46	other	7.32E-04	BAX,BCL2,TP53	197 (6)
mir-1 (includes others)	microRNA	7.34E-04	BCL2,BET1,CALR,HMGCR,HSP90B1,IGF1R,MAN1C1,PPIB,RRBP1,SEC61A1,SERP1,STX6,TMX1,UST,XBP1	 
mir-10 (includes others)	microRNA	7.35E-04	AP1M1,BAK1,BAX,DGAT1,DNAJC10,EDEM1,FKBP5,FURIN,IGF1R,MTOR,PSMD8,SYVN1,TBC1D1,TP53	288 (10)
cetuximab	biologic drug	7.63E-04	BCL2,BECN1,HSPB1,TNFRSF10B,XBP1	 
IER3IP1	other	7.63E-04	DNAJC3,ERO1A,HSPA5,KDELR3,PDIA2	161 (4)
N-acetylsphingosine	chemical reagent	7.78E-04	BAX,BCL2,BECN1,CRYAB,EIF2AK3,MAP3K5,TP53,UGCG	234 (9)
benzo(a)pyrene	chemical toxicant	7.92E-04	ALG2,ARHGDIA,ARHGEF6,BAX,BCL2,BCL2L11,CAMLG,HAS2,HS6ST2,HSPA1A/HSPA1B,HSPA4L,HSPB1,ITPR1,MAP2K7,NAPB,PDCD6,PPIF,SLC35A2,ST8SIA5,STX5,TP53	211 (8)
CASP3	peptidase	8.59E-04	BAX,BCL2,CAPN1,CAPN2,EIF2A,STX1A,TP53	280 (10)
HPI-1	chemical reagent	8.63E-04	BAK1,BAX,BCL2L11,TP53	 
2-(p-hydroxyanilino)-4-(p-chlorophenyl) thiazole	chemical drug	8.63E-04	ATF4,DNAJB9,HERPUD1,XBP1	135 (6)
KRT19	other	8.63E-04	EIF2AK3,EIF2S1,ERP29,HSPA5	 
NCF4	enzyme	8.63E-04	FUT4,FUT9,ST3GAL1,ST3GAL6	 
BDNF	growth factor	8.82E-04	AP3D1,ATP2A1,ATP2A2,BAG3,BCL2,BCL2L11,CASQ1,CASQ2,DNAJB5,GPS1,HMGCR,HSPA2,HSPA4L,HSPA5,ITPR1,MAN2A1,NAPB,RAB14,RAB3A,RYR1,RYR2,RYR3,SERPINH1,SNAP25,TMBIM6,TMED2,USO1,VAMP2	284 (9)
RNF5	enzyme	8.85E-04	BAK1,COLGALT1,HMGCR,KDELR3,PLOD2,SEC16B,SEC61A1,SEC63,SPCS2,SPCS3,SRP19,SRP68	 
HFE	transmembrane receptor	9.36E-04	CAPN5,DDIT3,FURIN,HMGCR,HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPB1,HSPH1,PSMB8,SELENOS,SYVN1	 
MAPKAPK3	kinase	9.99E-04	BCL2,DDIT3,HSPA5,HSPB1,HSPB8	 
IKZF1	transcription regulator	1.01E-03	ANKFY1,ARF3,ARHGEF11,AXL,BAK1,BCL2,DIPK1A,DNAJC6,EIF2AK3,EXOC3L1,EXTL2,FKBP9,FOXO1,FUT10,KIF23,MAN1C1,RAB11FIP2,RNF19A,RYR1,SERPINH1,ST3GAL6,STX12,TBC1D9,TRAPPC3L,VAMP3	 
CLDN6	other	1.01E-03	ATF4,ATF6,EIF2AK4,EIF2S1,ERN1,HSPA5	 
tripterine	chemical - endogenous non-mammalian	1.04E-03	BAG3,DNAJB1,DNAJB9,HSPA1A/HSPA1B,HSPA1L,HSPA4L,HSPH1,TCP1	161 (4)
